feature,importance,importance_pct,cumulative_pct
Model_Description_A300,5,0.03,92.91
Base_Model_JS130,5,0.03,92.94
Model_Description_PC200LC5,5,0.03,92.97
Base_Model_928,5,0.03,93.0
Product_Class_Description_Type_C_-_16_0_to_19_0_Metric_Tons,5,0.03,93.03
Base_Model_R210,5,0.03,93.06
Product_Class_Description_Type_C_-_21_0_to_24_0_Metric_Tons,5,0.03,93.09
Model_Series_-3L,5,0.03,93.12
Secondary_Description_XT,5,0.03,93.15
Model_Description_12HNA,5,0.03,93.18
Base_Model_EX330,5,0.03,93.21
Model_Description_763,5,0.03,93.24
State_of_Usage_Mississippi,5,0.03,93.27
Model_Description_PC300LC7E0,5,0.03,93.3
Base_Model_2000,5,0.03,93.33
Base_Model_W26,5,0.03,93.36
State_of_Usage_Ohio,5,0.03,93.39
Model_Description_3CX,5,0.03,93.42
Model_Description_966E,5,0.03,93.45
Base_Model_EX200,5,0.03,93.48
Base_Model_WA320,5,0.03,93.51
Base_Model_755,5,0.03,93.54
Base_Model_466,5,0.03,93.57
Model_Description_MS070,5,0.03,93.6
Model_Description_D65EX-12,5,0.03,93.63
Base_Model_515,5,0.03,93.66
Model_Description_RC50,5,0.03,93.69
Model_Description_D9H,5,0.03,93.72
Model_Description_D9N,5,0.03,93.75
Model_Description_D8K,5,0.03,93.78
Model_Description_PC200-3LC,4,0.03,93.81
Model_Description_SK200,4,0.03,93.84
Model_Description_226,4,0.03,93.87
Model_Description_VIO70,4,0.03,93.9
Base_Model_EX120,4,0.03,93.93
Model_Description_950,4,0.03,93.96
Model_Description_580,4,0.03,93.99
Model_Description_D6C,4,0.03,94.02
Model_Description_MEGA_200,4,0.03,94.05
Model_Description_HE220LC,4,0.03,94.08
Model_Description_710G,4,0.03,94.11
Model_Description_D41E,4,0.03,94.14
Model_Description_DH320,4,0.03,94.17
Base_Model_80,4,0.03,94.2
Base_Model_16,4,0.03,94.23
Base_Model_226,4,0.03,94.26
State_of_Usage_Tennessee,4,0.03,94.29
Model_Description_666,4,0.03,94.32
Model_Series_5,4,0.03,94.35
Model_Description_D7H,4,0.03,94.38
